term	class_number	class_status	tuition	start_date	end_date	faculty	location	room	days	start_time	end_time	comments	title	course_description	prerequisites	major_division	minor_division	cluster	hours	session	cluster_description	catalogpghdr	suffixdesc
2005SP	ESOL-1003-22206	Open	$75.00 	1/19/2005	2/8/2005	England	BHEC	012	MTWRF	1/0/1900	1/0/1900		Reading One	"This advanced English course is designed for students whose primary language is other than English.  Focus is on improving job-related reading skills, pronunciation, and comprehension with an emphasis on specific business-related passages."		ESOL		ESOL	30	15			
2005SP	ESOL-1003-23008	Open	$75.00 	3/7/2005	3/29/2005	England	BHEC	012	MTWRF	1/0/1900	1/0/1900	No class 3/18/05 & 3/25/05.	Reading Three	"This advanced ESOL course is designed for students with advanced ESOL speaking, reading and writing skills.  The course will provide guided practice in reading with an emphasis on building reading comprehension skills."		ESOL		ESOL	30	15			
2005SP	ESOL-1008-22203	Open	$100.00 	1/8/2005	4/2/2005	Mendes	BHEC	011	S	1/0/1900	1/0/1900	No class 3/19/05 & 3/26/05.	TOEFL Preparation One	"Build confidence and test-taking skills for the TOEFL (Test of English as a Foreign Language).  TOEFL is a college and university entrance test frequently required for foreign-born students.  The course is designed for intermediate and advanced students.  It presents efficient and specific techniques for dealing with format, procedures, content and test conditions of the TOEFL.  Practice test-taking and learn to work under time pressure.  Achieve the goal of an improved TOEFL SCORE."		Test Preparation		TEST PREPARATION	30	10			
2005SP	ESOL-1008-23003	Open	$100.00 	4/9/2005	6/18/2005	Mendes	BHEC	011	S	1/0/1900	1/0/1900	No class 5/28/05.	TOEFL Preparation Two	This course is a continuation of TOEFL Preparation One.  Students continue building confidence and test-taking skills for the TOEFL.		Test Preparation	ESOL	TEST PREPARATION	30	10			
2005SP	HRPO-1091-21001	Open	$55.00 	1/22/2005	1/29/2005	Hobson	BHC	TBA	S	1/0/1900	1/0/1900		Dispute Resolution	"This course provides an overview of conflict and dispute resolution.  Students will examine the nature of disputes and the multiple ways in which conflict can occur.  Students will gain a theoretical understanding of negotiation, mediation and arbitration, as well as learn of the professional opportunities in the field of dispute resolution."		BUSINESS		Human Resource Management	16	1			
2005SP	ARTC-1091-23002	Open	$160.00 	4/2/2005	5/21/2005	Hurley	BHEC	002	S	1/0/1900	1/0/1900		Photoshop CS for PC	"This hands-on/lecture course using Photoshop CS will begin with an introductory tour of the software and then progress to more complex topics like color management; web graphics, and photo retouching. Topics will include basic photo corrections; working with selections and layers; masks and channels; retouching and repairing; painting and editing; pen tool techniques; vector masks, paths, and shapes; advanced layer techniques; creating special effects; preparing images for two-color printing; creating links within an image; optimizing web images; animating GIF images for the web; setting up your monitor for color management; and producing and printing consistent color. Text required."	Computer Literacy and Windows 98/XP.	Computer Training		Computer Graphics and Desktop Publishing for the PC	24	8			
2005SP	ITSC-1022-22009	Open	$130.00 	2/12/2005	4/23/2005	Calles	BHEC	008	S	1/0/1900	1/0/1900	No clase 3/19 and 3/26	Conceptos de computadoras	"Este curso ofrece experiencia práctica e instrucción sobre como utilizar ésta poderosa herramienta, al mismo tiempo que le familiarize sobre la terminología usada en computación. El estudiante recibe una introducción al desarrollo histórico de las computadoras, y explora los componentes y operaciones de los sistemas de microcomputadoras modernos.  El curso incluye una visión comprensiva de la última versión de Microsoft Windows XP. Esta versión ofrece nuevas modalidades de interface del usuario, el menu inicial y el Panel de control, así como también una mayor estabilidad del sistema operativo. Aprenderá a utilizar Windows Explorer para crear, abrir, salvar y manejar archivos. Entre los tópicos incluidos, se encuentran los elementos del menu, la pantalla, atajos, el taskbar, ventanas para folders, programas, diálogos, accesorios, herramientas del sistema y el internet explorer. También aprenderá como trabajar con ventanas multiples, transferencia de datos entre aplicaciones y cómo personalizar su computadora con el Panel de control. También se tratarán en detalle algunas aplicaciones de software."		Computer Training		Cursos de computacion en Español	28	8		Cursos de computacion en Español	
2005SP	BUSG-1093-22211	Froz	$99.00 	2/7/2005	2/7/2005	Kaplan	BHC	TBA	M	1/0/1900	1/0/1900		Faith-Based Initiatives:  Leveraging the Sleeping	"Although some of the new federal faith-based initiative rhetoric is held suspect by tenured leaders in both churches and not-for-profits, those of us in the nonprofit community may be able to take the new federal focus on faith-based groups and make it work to the advantage of our organizations.  This seminar is about leveraging this opportunity and capacity building through faith-based initiative partnerships.  Almost 25 years ago, Marlene Wilson wrote an article in what was then Voluntary Action Leadership magazine entitled ""Religion: The Sleeping Giant."" In it she spoke of the enormous potential of churches, synagogues, mosques and meetings to mobilize thousands of volunteers, acting on their faith and moral principles, to tackle social needs. Can we help them?  Can we join them?  This seminar offers a three-step approach to environmental scanning and developing partnerships. $99 for members of the Center For Nonprofit Management and $129 for nonmembers. Tuition includes lunch."		BUSINESS		Faith-Based Initiatives	7	0			"INSTRUCTOR:    Dr. Cindi Love is the Executive Dean of Corporate & Continuing Education of Brookhaven College, named the seventh fastest growing Comprehensive community college in the United States in 2002.  She is also the Coordinator of Advocacy Services for the Shelton Foundation, a program serving chronically disabled adults in West Texas and Chairman of the Board of the Metropolitan Community Churches world-wide, a denomination of 300+ churches in 26 countries.  She is an ordained minister of MCC.  Prior to coming to Brookhaven, Dr. Love was a senior executive of global customer support systems with The Toro Company in Minneapolis."
2005SP	NUPC-2030-23001	Open	$60.00 	4/28/2005	4/29/2005		BHC	TBA	RF	1/0/1900	1/0/1900		ASEPTIC TECHNIQUES AND SKILLS	"This course is designed to review and update information related to infection control.  The curriculum covers such subjects as normal and aging skin, the chain of infection, the application of sterile techniques in setting up and maintaining a sterile field, urinary catheterization, uncomplicated wound care, and thermal therapies.  Removal of staples, sutures, and peripheral I.V. infusions will be included."	CNA  or equivalent experience and letter from employer	Medical Services/Allied H		CLINICAL TECHNICIAN	16	1	The following courses are offered in modular format to provide training for individuals who are seeking advancement in their positions in acute care settings.  Anyone who wishes to earn a clinical technician certificate from Brookhaven College must complete all the modules and the clinical or comprehensive skills and knowledge testing component.  Prerequisite: CNA or equivalent experience and letter from employer.		Dates/Times varies each semester.
2005SP	NUPC-1040-23001	Open	$80.00 	5/26/2005	5/27/2005		BHC	TBA	RF	1/0/1900	1/0/1900		DIABETES AND ADVANCED NUTRITIONAL SKILLS	"This course is designed to update the nurse aide on new strategies, data, trends, and breakthroughs in diabetes care.  Specific areas include glucose monitoring using several systems, foot care, skin care, and nutrition and health habits.  Included will be the care and skills related to the patient with advanced and complex nutritional needs.  Special emphasis will be placed on observation and reporting skills within the limitations and responsibilities of assistive personnel."	CNA or equivalent experience and letter from employer	Medical Services/Allied H		CLINICAL TECHNICIAN	16	1	The following courses are offered in modular format to provide training for individuals who are seeking advancement in their positions in acute care settings.  Anyone who wishes to earn a clinical technician certificate from Brookhaven College must complete all the modules and the clinical or comprehensive skills and knowledge testing component.  Prerequisite: CNA or equivalent experience and letter from employer.		Dates/Times varies each semester.
